INWONER	aantal_inwoners
AV5_CAFTAR	cafetaria_aantal_binnen_5_km
AFS_RESTAU	restaurant_gemiddelde_afstand_in_km
AV1_RESTAU	restaurant_aantal_binnen_1_km
AV3_RESTAU	restaurant_aantal_binnen_3_km
AV5_RESTAU	restaurant_aantal_binnen_5_km
AFS_HOTEL	hotel_gemiddelde_afstand_in_km
AV5_HOTEL	hotel_aantal_binnen_5_km
AV10_HOTEL	hotel_aantal_binnen_10_km
AV20_HOTEL	hotel_aantal_binnen_20_km
AFS_BIBLIO	bibliotheek_gemiddelde_afstand_in_km
AFS_ZWEMB	zwembad_gemiddelde_afstand_in_km
AFS_BIOS	bioscoop_gemiddelde_afstand_in_km
AV5_BIOS	bioscoop_aantal_binnen_5_km
AV10_BIOS	bioscoop_aantal_binnen_10_km
AV20_BIOS	bioscoop_aantal_binnen_20_km
AFS_TREINS	treinstation_gemiddelde_afstand_in_km
AFS_TRNOVS	overstapstation_gemiddelde_afstand_in_km
AF_IJSBAAN	kunstijsbaan_gemiddelde_afstand_in_km
AFS_MUS	museum_gemiddelde_afstand_in_km
AV5_MUS	museum_gemiddeld_aantal_binnen_5_km
AV10_MUS	museum_gemiddeld_aantal_binnen_10_km
AV20_MUS	museum_gemiddeld_aantal_binnen_20_km
AFS_PODIUM	theater_gemiddelde_afstand_in_km
AV5_PODIUM	theater_aantal_binnen_5_km
AV10PODIUM	theater_aantal_binnen_10_km
AV20PODIUM	theater_aantal_binnen_20_km
AFS_POP	poppodium_gemiddelde_afstand_in_km
AFS_SAUNA	sauna_gemiddelde_afstand_in_km
AFS_ZONBNK	zonnebank_gemiddelde_afstand_in_km
AFS_ATTRAC	attractiepark_gemiddelde_afstand_in_km
AV10ATTRAC	attractiepark_aantal_binnen_10_km
AV20ATTRAC	attractiepark_aantal_binnen_20_km
AV50ATTRAC	attractiepark_aantal_binnen_50_km
AFS_BRANDW	brandweerkazerne_gemiddelde_afstand_in_km
OAD	omgevingsadressendichtheid
STED	stedelijkheid 
